Gene_Id_189,ABEN_Rep1,ABEN_Rep2,ABEN_Rep3,EN_Rep1,EN_Rep2,EN_Rep3
Glyma01g06530,0.0211466,0.502258,0.421797,0,0,0.209566
Glyma01g06540,0,1.12E-05,0.00459041,1.98858,0,0.291534
Glyma01g06550,6.92245,10.6873,7.04683,3.01808,4.92209,2.34495
Glyma01g06575,4.36023,4.79292,4.27255,6.13584,4.81672,6.0941
Glyma01g06600,27.6086,21.2345,29.8991,34.4262,29.0262,34.0529
Glyma01g06610,3.05E-05,0,0,0,0.000442367,0
Glyma01g06620,4.59184,2.9965,4.72086,6.4424,7.04363,5.74675
Glyma01g06630,3.78179,4.70196,4.84544,5.59512,5.25023,5.04736
Glyma01g06640,4.64409,4.54558,3.44269,9.288,3.31133,3.50663
Glyma01g06660,0.813041,0.5143,1.79E-05,0,0.0267509,0.774645
Glyma01g06671,0,0,2.97E-05,0,0.00027043,0.000349521
Glyma01g06681,7.76789,8.94287,9.17489,10.4755,9.94176,9.03063
Glyma01g06690,0.506226,0.346633,0.228679,0.808579,1.01752,0.863161
Glyma01g06700,2.88E-05,0.000141695,0,3.50E-05,0,0.00014885
Glyma01g06720,0.298388,0.135285,0.37685,0.234684,0.0970873,0.289495
Glyma01g06730,3.95024,4.44207,4.0021,5.04396,4.79597,5.24386
Glyma01g06740,8.73E-05,0,0,2.64E-05,0,0
Glyma01g06750,4.25664,2.88974,4.45213,6.42176,6.88323,8.34114
Glyma01g06762,0,0,0,0,0,0
Glyma01g06774,2.11E-05,1.77E-05,1.79E-05,2.47E-05,1.88E-05,1.86E-05
Glyma01g06787,2.12125,2.13415,2.10163,2.87425,2.48795,2.65095
Glyma01g06800,4.81025,4.25981,5.14203,3.44782,4.26324,4.50742
Glyma01g06810,1.17901,0.569039,0.689146,0.199498,0,1.12214
Glyma01g06820,0.374655,0.383122,0.24553,0.532557,0.399697,0.467393
Glyma01g06830,0.118497,0.202318,0.0455969,0.005177,0.0464746,0.0918212
Glyma01g06840,29.528,33.4002,31.9372,24.7363,24.2543,23.8267
Glyma01g06850,0.0391919,0,0,0,0.0345126,0.0440269
Glyma01g06860,0,0,0,0.00421363,0.0582729,0.00705991
Glyma01g06870,2.23485,1.48067,0,0,1.27139,0.916626
Glyma01g06880,1.6086,1.30443,0.785552,1.80679,1.49252,0.86236
Glyma01g06902,0,0,0,0,0,0
Glyma01g06924,0.0249874,0.0708892,0.0400607,0.0222512,0.0217156,0.0157091
Glyma01g06947,0,0,0,0,0,0
Glyma01g06970,81.0623,96.4787,56.4586,72.5807,60.4301,43.8326
Glyma01g06980,0,0,0,0,0,0
Glyma01g06995,0,0,0,0,0,0
Glyma01g07010,0,0.221784,0,0.413788,0.614706,0
Glyma01g07020,2.40073,1.55566,2.4716,1.8735,2.9595,2.0675
Glyma01g07040,0.81103,0.34541,0.279189,1.17081,0.574433,0.573504
Glyma01g07046,0.372589,1.36067,0.269297,0.445035,0.389677,0.155344
Glyma01g07053,0,0.0218531,0.0163391,0,0,0
Glyma01g07060,0,0,0,0,0,0
Glyma01g07070,7.74737,5.67653,8.10389,25.4292,28.0349,22.5437
Glyma01g07080,0,1.60438,0.244545,1.72913,0.581922,3.04372
Glyma01g07091,6.22657,1.53787,3.62178,4.83746,10.9481,5.10079
